,no,effectiveDate,mid
0,1/A/NBP/2002,2002-01-02,2.3915
1,2/A/NBP/2002,2002-01-03,2.4034
2,3/A/NBP/2002,2002-01-04,2.3895
3,4/A/NBP/2002,2002-01-07,2.3726
4,5/A/NBP/2002,2002-01-08,2.3813
5,6/A/NBP/2002,2002-01-09,2.3951
6,7/A/NBP/2002,2002-01-10,2.3863
7,8/A/NBP/2002,2002-01-11,2.4447
8,9/A/NBP/2002,2002-01-14,2.4241
9,10/A/NBP/2002,2002-01-15,2.4321
10,11/A/NBP/2002,2002-01-16,2.448
11,12/A/NBP/2002,2002-01-17,2.4769
12,13/A/NBP/2002,2002-01-18,2.5095
13,14/A/NBP/2002,2002-01-21,2.4916
14,15/A/NBP/2002,2002-01-22,2.4781
15,16/A/NBP/2002,2002-01-23,2.4727
16,17/A/NBP/2002,2002-01-24,2.4712
17,18/A/NBP/2002,2002-01-25,2.4797
18,19/A/NBP/2002,2002-01-28,2.4376
19,20/A/NBP/2002,2002-01-29,2.4023
20,21/A/NBP/2002,2002-01-30,2.4362
21,22/A/NBP/2002,2002-01-31,2.437
22,23/A/NBP/2002,2002-02-01,2.4331
23,24/A/NBP/2002,2002-02-04,2.4571
24,25/A/NBP/2002,2002-02-05,2.4686
25,26/A/NBP/2002,2002-02-06,2.4751
26,27/A/NBP/2002,2002-02-07,2.5114
27,28/A/NBP/2002,2002-02-08,2.5056
28,29/A/NBP/2002,2002-02-11,2.476
29,30/A/NBP/2002,2002-02-12,2.4793
30,31/A/NBP/2002,2002-02-13,2.4647
31,32/A/NBP/2002,2002-02-14,2.469
32,33/A/NBP/2002,2002-02-15,2.4561
33,34/A/NBP/2002,2002-02-18,2.444
34,35/A/NBP/2002,2002-02-19,2.4335
35,36/A/NBP/2002,2002-02-20,2.4631
36,37/A/NBP/2002,2002-02-21,2.4551
37,38/A/NBP/2002,2002-02-22,2.4528
38,39/A/NBP/2002,2002-02-25,2.4674
39,40/A/NBP/2002,2002-02-26,2.4698
40,41/A/NBP/2002,2002-02-27,2.4568
41,42/A/NBP/2002,2002-02-28,2.466
42,43/A/NBP/2002,2002-03-01,2.4907
43,44/A/NBP/2002,2002-03-04,2.4494
44,45/A/NBP/2002,2002-03-05,2.4532
45,46/A/NBP/2002,2002-03-06,2.4458
46,47/A/NBP/2002,2002-03-07,2.4674
47,48/A/NBP/2002,2002-03-08,2.4858
48,49/A/NBP/2002,2002-03-11,2.4638
49,50/A/NBP/2002,2002-03-12,2.4613
50,51/A/NBP/2002,2002-03-13,2.4781
51,52/A/NBP/2002,2002-03-14,2.4919
52,53/A/NBP/2002,2002-03-15,2.4838
53,54/A/NBP/2002,2002-03-18,2.4737
54,55/A/NBP/2002,2002-03-19,2.468
55,56/A/NBP/2002,2002-03-20,2.4721
56,57/A/NBP/2002,2002-03-21,2.4776
57,58/A/NBP/2002,2002-03-22,2.4743
58,59/A/NBP/2002,2002-03-25,2.4784
59,60/A/NBP/2002,2002-03-26,2.481
60,61/A/NBP/2002,2002-03-27,2.4605
61,62/A/NBP/2002,2002-03-28,2.4486
62,63/A/NBP/2002,2002-03-29,2.4587
63,64/A/NBP/2002,2002-04-02,2.4685
64,65/A/NBP/2002,2002-04-03,2.4595
65,66/A/NBP/2002,2002-04-04,2.4626
66,67/A/NBP/2002,2002-04-05,2.4561
67,68/A/NBP/2002,2002-04-08,2.4476
68,69/A/NBP/2002,2002-04-09,2.4477
69,70/A/NBP/2002,2002-04-10,2.4546
70,71/A/NBP/2002,2002-04-11,2.4497
71,72/A/NBP/2002,2002-04-12,2.4394
72,73/A/NBP/2002,2002-04-15,2.4399
73,74/A/NBP/2002,2002-04-16,2.4331
74,75/A/NBP/2002,2002-04-17,2.4464
