,no,effectiveDate,mid
0,1/A/NBP/2002,2002-01-02,3.5496
1,2/A/NBP/2002,2002-01-03,3.5699
2,3/A/NBP/2002,2002-01-04,3.5346
3,4/A/NBP/2002,2002-01-07,3.5032
4,5/A/NBP/2002,2002-01-08,3.5015
5,6/A/NBP/2002,2002-01-09,3.5417
6,7/A/NBP/2002,2002-01-10,3.5376
7,8/A/NBP/2002,2002-01-11,3.6152
8,9/A/NBP/2002,2002-01-14,3.5838
9,10/A/NBP/2002,2002-01-15,3.5982
10,11/A/NBP/2002,2002-01-16,3.5998
11,12/A/NBP/2002,2002-01-17,3.6308
12,13/A/NBP/2002,2002-01-18,3.688
13,14/A/NBP/2002,2002-01-21,3.6628
14,15/A/NBP/2002,2002-01-22,3.642
15,16/A/NBP/2002,2002-01-23,3.6436
16,17/A/NBP/2002,2002-01-24,3.6259
17,18/A/NBP/2002,2002-01-25,3.6394
18,19/A/NBP/2002,2002-01-28,3.5913
19,20/A/NBP/2002,2002-01-29,3.5375
20,21/A/NBP/2002,2002-01-30,3.5823
21,22/A/NBP/2002,2002-01-31,3.5929
22,23/A/NBP/2002,2002-02-01,3.5929
23,24/A/NBP/2002,2002-02-04,3.6336
24,25/A/NBP/2002,2002-02-05,3.6422
25,26/A/NBP/2002,2002-02-06,3.6451
26,27/A/NBP/2002,2002-02-07,3.6974
27,28/A/NBP/2002,2002-02-08,3.6868
28,29/A/NBP/2002,2002-02-11,3.6564
29,30/A/NBP/2002,2002-02-12,3.6657
30,31/A/NBP/2002,2002-02-13,3.6439
31,32/A/NBP/2002,2002-02-14,3.6613
32,33/A/NBP/2002,2002-02-15,3.6432
33,34/A/NBP/2002,2002-02-18,3.6224
34,35/A/NBP/2002,2002-02-19,3.5989
35,36/A/NBP/2002,2002-02-20,3.6431
36,37/A/NBP/2002,2002-02-21,3.634
37,38/A/NBP/2002,2002-02-22,3.6291
38,39/A/NBP/2002,2002-02-25,3.6442
39,40/A/NBP/2002,2002-02-26,3.6471
40,41/A/NBP/2002,2002-02-27,3.6261
41,42/A/NBP/2002,2002-02-28,3.641
42,43/A/NBP/2002,2002-03-01,3.674
43,44/A/NBP/2002,2002-03-04,3.621
