,no,effectiveDate,mid
0,1/A/NBP/2002,2002-01-02,5.7275
1,2/A/NBP/2002,2002-01-03,5.7091
2,3/A/NBP/2002,2002-01-04,5.6681
3,4/A/NBP/2002,2002-01-07,5.6362
4,5/A/NBP/2002,2002-01-08,5.6709
5,6/A/NBP/2002,2002-01-09,5.712
6,7/A/NBP/2002,2002-01-10,5.7155
7,8/A/NBP/2002,2002-01-11,5.8461
8,9/A/NBP/2002,2002-01-14,5.8136
9,10/A/NBP/2002,2002-01-15,5.837
10,11/A/NBP/2002,2002-01-16,5.8662
11,12/A/NBP/2002,2002-01-17,5.9052
12,13/A/NBP/2002,2002-01-18,6.007
13,14/A/NBP/2002,2002-01-21,5.9456
14,15/A/NBP/2002,2002-01-22,5.8889
15,16/A/NBP/2002,2002-01-23,5.8754
16,17/A/NBP/2002,2002-01-24,5.8724
17,18/A/NBP/2002,2002-01-25,5.9172
18,19/A/NBP/2002,2002-01-28,5.8443
19,20/A/NBP/2002,2002-01-29,5.7798
20,21/A/NBP/2002,2002-01-30,5.8621
21,22/A/NBP/2002,2002-01-31,5.8756
22,23/A/NBP/2002,2002-02-01,5.8924
23,24/A/NBP/2002,2002-02-04,5.9768
24,25/A/NBP/2002,2002-02-05,5.9567
25,26/A/NBP/2002,2002-02-06,5.9478
26,27/A/NBP/2002,2002-02-07,6.0106
27,28/A/NBP/2002,2002-02-08,5.9652
28,29/A/NBP/2002,2002-02-11,5.9391
29,30/A/NBP/2002,2002-02-12,5.9508
30,31/A/NBP/2002,2002-02-13,5.9712
31,32/A/NBP/2002,2002-02-14,5.9967
32,33/A/NBP/2002,2002-02-15,5.9749
33,34/A/NBP/2002,2002-02-18,5.9476
34,35/A/NBP/2002,2002-02-19,5.9032
35,36/A/NBP/2002,2002-02-20,5.9494
36,37/A/NBP/2002,2002-02-21,5.9457
37,38/A/NBP/2002,2002-02-22,5.9552
38,39/A/NBP/2002,2002-02-25,5.9599
39,40/A/NBP/2002,2002-02-26,5.9749
40,41/A/NBP/2002,2002-02-27,5.941
41,42/A/NBP/2002,2002-02-28,5.9635
42,43/A/NBP/2002,2002-03-01,6.0116
