,no,effectiveDate,mid
0,1/A/NBP/2002,2002-01-02,3.948
1,2/A/NBP/2002,2002-01-03,3.9574
2,3/A/NBP/2002,2002-01-04,3.9383
3,4/A/NBP/2002,2002-01-07,3.9079
4,5/A/NBP/2002,2002-01-08,3.9322
5,6/A/NBP/2002,2002-01-09,3.9667
6,7/A/NBP/2002,2002-01-10,3.9637
7,8/A/NBP/2002,2002-01-11,4.0547
8,9/A/NBP/2002,2002-01-14,4.0116
9,10/A/NBP/2002,2002-01-15,4.0351
10,11/A/NBP/2002,2002-01-16,4.0851
11,12/A/NBP/2002,2002-01-17,4.1256
12,13/A/NBP/2002,2002-01-18,4.188
13,14/A/NBP/2002,2002-01-21,4.1417
14,15/A/NBP/2002,2002-01-22,4.12
15,16/A/NBP/2002,2002-01-23,4.11
16,17/A/NBP/2002,2002-01-24,4.1291
17,18/A/NBP/2002,2002-01-25,4.1627
18,19/A/NBP/2002,2002-01-28,4.1522
19,20/A/NBP/2002,2002-01-29,4.1067
20,21/A/NBP/2002,2002-01-30,4.1387
21,22/A/NBP/2002,2002-01-31,4.1637
22,23/A/NBP/2002,2002-02-01,4.175
23,24/A/NBP/2002,2002-02-04,4.2144
24,25/A/NBP/2002,2002-02-05,4.1885
25,26/A/NBP/2002,2002-02-06,4.2062
26,27/A/NBP/2002,2002-02-07,4.2628
27,28/A/NBP/2002,2002-02-08,4.2247
28,29/A/NBP/2002,2002-02-11,4.1863
29,30/A/NBP/2002,2002-02-12,4.1723
30,31/A/NBP/2002,2002-02-13,4.1593
31,32/A/NBP/2002,2002-02-14,4.2018
32,33/A/NBP/2002,2002-02-15,4.1793
33,34/A/NBP/2002,2002-02-18,4.15
34,35/A/NBP/2002,2002-02-19,4.1476
35,36/A/NBP/2002,2002-02-20,4.1612
36,37/A/NBP/2002,2002-02-21,4.1739
37,38/A/NBP/2002,2002-02-22,4.1742
38,39/A/NBP/2002,2002-02-25,4.168
39,40/A/NBP/2002,2002-02-26,4.189
40,41/A/NBP/2002,2002-02-27,4.1946
41,42/A/NBP/2002,2002-02-28,4.2046
42,43/A/NBP/2002,2002-03-01,4.2331
43,44/A/NBP/2002,2002-03-04,4.1898
44,45/A/NBP/2002,2002-03-05,4.1642
45,46/A/NBP/2002,2002-03-06,4.1473
46,47/A/NBP/2002,2002-03-07,4.1376
